Provider,URL,SMTP SETTINGS
1&1,1and1.com,Smtp.1and1.com
Airmail,Airmail.net,Mail.airmail.net
AOL,Aol.com,Smtp.aol.com
AT&T,Att.net,Outbound.att.net
Bluewin,Bluewin.ch,Smtpauths.bluewin.ch 
BT Connect,Btconnect.com,Mail.btconnect.tom
Comcast,Comcast.net,Smtp.comcast.net
Earthlink,Earthlink.net,Smtpauth.earthlink.net
Gmail,Gmail.com,Smtp.gmail.com
Gmx,Gmx.net,Mail.gmx.net
HotPop,Hotpop.com,Mail.hotpop.com
Libero,Libero.it,Mail.libero.it
Lycos,Lycos.com,Smtp.lycos.com
O2,o2.com,Smtp.o2.com
Orange,Orange.net,Smtp.orange.net
Outlook,Outlook.com,Smtp.live.com
Hotmail,Hotmail.com,Smtp.live.com
Tin,Tin.it,Mail.tin.it
Tiscali,Tiscali.co.uk,Smtp.tiscali.co.uk
Verizon,Verizon.net,Outgoing.verizon.net
Virgin,Virgin.net,Smtp.virgin.net
Wanadoo,Wanadoo.fr,Smtp.wanadoo.fr
Yahoo,Yahoo.com,Mail.yahoo.com
